name: GeForce RTX 2080 Ti major: 7 minor: 5 memoryClockRate(GHz): 1.545
pciBusID: 0000:01:00.0
totalMemory: 10.76GiB freeMemory: 10.60GiB
Loading dataset...
100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1/1 [00:01<00:00,  1.49s/it]
dataset has 70654993 tokens
Training...
[1 | 6.28] loss=4.29 avg=4.29
[2 | 6.89] loss=4.92 avg=4.60
[3 | 7.50] loss=4.35 avg=4.52
[4 | 8.11] loss=4.45 avg=4.50
[5 | 8.72] loss=4.35 avg=4.47
[6 | 9.33] loss=4.46 avg=4.47
[7 | 9.94] loss=4.39 avg=4.46
[8 | 10.55] loss=4.46 avg=4.46
[9 | 11.16] loss=4.03 avg=4.41
[10 | 11.78] loss=3.98 avg=4.36
[11 | 12.39] loss=4.10 avg=4.34
[12 | 13.00] loss=4.13 avg=4.32
[13 | 13.61] loss=4.11 avg=4.30
[14 | 14.22] loss=4.08 avg=4.29
[15 | 14.83] loss=4.18 avg=4.28
[16 | 15.45] loss=3.96 avg=4.26
[17 | 16.06] loss=4.07 avg=4.24
[18 | 16.67] loss=3.99 avg=4.23
[19 | 17.28] loss=4.35 avg=4.24
[20 | 17.90] loss=4.23 avg=4.24
[21 | 18.51] loss=3.88 avg=4.22
[22 | 19.12] loss=3.87 avg=4.20
[23 | 19.74] loss=3.87 avg=4.18
[24 | 20.35] loss=4.04 avg=4.18
[25 | 20.96] loss=3.86 avg=4.16
[26 | 21.57] loss=3.87 avg=4.15
[27 | 22.19] loss=4.03 avg=4.14
[28 | 22.80] loss=4.04 avg=4.14
[29 | 23.41] loss=4.10 avg=4.14
[30 | 24.02] loss=4.06 avg=4.14
[31 | 24.64] loss=3.81 avg=4.12
[32 | 25.25] loss=3.99 avg=4.12
[33 | 25.87] loss=3.73 avg=4.11
[34 | 26.48] loss=3.71 avg=4.09
[35 | 27.09] loss=3.90 avg=4.09
[36 | 27.71] loss=3.54 avg=4.07
[37 | 28.32] loss=3.74 avg=4.06
[38 | 28.94] loss=3.83 avg=4.05
[39 | 29.55] loss=3.74 avg=4.04
[40 | 30.17] loss=3.51 avg=4.02
[41 | 30.78] loss=3.83 avg=4.02
[42 | 31.39] loss=3.57 avg=4.01
[43 | 32.01] loss=3.83 avg=4.00
[44 | 32.62] loss=3.79 avg=3.99
[45 | 33.24] loss=3.82 avg=3.99
[46 | 33.85] loss=3.97 avg=3.99
[47 | 34.47] loss=3.75 avg=3.98
[48 | 35.08] loss=3.72 avg=3.98
[49 | 35.70] loss=3.69 avg=3.97
[50 | 36.31] loss=3.74 avg=3.96
[51 | 36.93] loss=3.66 avg=3.96
[52 | 37.54] loss=3.26 avg=3.94
[53 | 38.16] loss=4.05 avg=3.94
[54 | 38.77] loss=3.82 avg=3.94
[55 | 39.39] loss=3.92 avg=3.94
[56 | 40.00] loss=3.55 avg=3.93
[57 | 40.62] loss=3.84 avg=3.93
[58 | 41.23] loss=3.65 avg=3.92
[59 | 41.85] loss=3.69 avg=3.91
[60 | 42.47] loss=4.05 avg=3.92
[61 | 43.08] loss=3.67 avg=3.91
[62 | 43.70] loss=3.72 avg=3.91
[63 | 44.31] loss=3.79 avg=3.91
[64 | 44.93] loss=3.55 avg=3.90
[65 | 45.54] loss=3.64 avg=3.89
[66 | 46.16] loss=3.58 avg=3.89
[67 | 46.78] loss=3.65 avg=3.88
[68 | 47.39] loss=3.54 avg=3.87
[69 | 48.01] loss=3.69 avg=3.87
[70 | 48.63] loss=3.61 avg=3.87
[71 | 49.24] loss=3.71 avg=3.86
[72 | 49.86] loss=3.66 avg=3.86
[73 | 50.48] loss=3.78 avg=3.86
[74 | 51.09] loss=3.80 avg=3.86
[75 | 51.71] loss=3.72 avg=3.85
[76 | 52.33] loss=3.68 avg=3.85
[77 | 52.95] loss=3.88 avg=3.85
[78 | 53.57] loss=3.54 avg=3.85
[79 | 54.18] loss=3.13 avg=3.83
[80 | 54.80] loss=3.71 avg=3.83
[81 | 55.42] loss=3.99 avg=3.83
[82 | 56.04] loss=3.44 avg=3.83
[83 | 56.66] loss=3.25 avg=3.82
[84 | 57.27] loss=3.67 avg=3.81
[85 | 57.89] loss=3.48 avg=3.81
[86 | 58.51] loss=3.52 avg=3.80
[87 | 59.13] loss=3.73 avg=3.80
[88 | 59.74] loss=3.63 avg=3.80
[89 | 60.36] loss=3.68 avg=3.80
[90 | 60.98] loss=3.75 avg=3.80
[91 | 61.60] loss=3.56 avg=3.79
[92 | 62.22] loss=3.54 avg=3.79
[93 | 62.84] loss=3.51 avg=3.78
[94 | 63.45] loss=3.56 avg=3.78
[95 | 64.07] loss=3.53 avg=3.78
[96 | 64.69] loss=3.74 avg=3.77
[97 | 65.31] loss=3.47 avg=3.77
[98 | 65.93] loss=3.75 avg=3.77
[99 | 66.55] loss=3.27 avg=3.76
[100 | 67.16] loss=3.51 avg=3.76
[101 | 67.78] loss=3.69 avg=3.76
[102 | 68.40] loss=3.28 avg=3.75
[103 | 69.02] loss=3.70 avg=3.75
[104 | 69.64] loss=3.70 avg=3.75
[105 | 70.26] loss=3.46 avg=3.74
[106 | 70.87] loss=3.56 avg=3.74
[107 | 71.49] loss=3.51 avg=3.74
[108 | 72.11] loss=3.61 avg=3.73
[109 | 72.73] loss=3.51 avg=3.73
[110 | 73.35] loss=3.52 avg=3.73
[111 | 73.97] loss=3.53 avg=3.73
[112 | 74.59] loss=3.20 avg=3.72
[113 | 75.21] loss=3.35 avg=3.71
[114 | 75.83] loss=3.57 avg=3.71
[115 | 76.45] loss=3.56 avg=3.71
[116 | 77.06] loss=3.79 avg=3.71
[117 | 77.68] loss=3.37 avg=3.70
[118 | 78.30] loss=3.64 avg=3.70
[119 | 78.92] loss=3.51 avg=3.70
[120 | 79.54] loss=3.36 avg=3.70
[121 | 80.16] loss=3.58 avg=3.69
[122 | 80.78] loss=3.58 avg=3.69
[123 | 81.40] loss=3.79 avg=3.69
[124 | 82.02] loss=3.56 avg=3.69
[125 | 82.64] loss=3.66 avg=3.69
[126 | 83.26] loss=3.69 avg=3.69
[127 | 83.88] loss=3.68 avg=3.69
[128 | 84.50] loss=3.37 avg=3.69
[129 | 85.12] loss=3.32 avg=3.68
[130 | 85.74] loss=3.25 avg=3.68
