name: GeForce RTX 2080 Ti major: 7 minor: 5 memoryClockRate(GHz): 1.545
pciBusID: 0000:01:00.0
totalMemory: 10.73GiB freeMemory: 10.57GiB
Loading dataset...
100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1/1 [00:01<00:00,  1.29s/it]
dataset has 66370094 tokens
Training...
[1 | 6.42] loss=3.72 avg=3.72
[2 | 7.03] loss=4.33 avg=4.03
[3 | 7.64] loss=3.97 avg=4.01
[4 | 8.25] loss=4.31 avg=4.09
[5 | 8.86] loss=4.21 avg=4.11
[6 | 9.48] loss=3.85 avg=4.07
[7 | 10.09] loss=3.87 avg=4.04
[8 | 10.70] loss=3.53 avg=3.97
[9 | 11.31] loss=3.54 avg=3.92
[10 | 11.92] loss=3.88 avg=3.92
[11 | 12.53] loss=3.91 avg=3.92
[12 | 13.15] loss=3.33 avg=3.87
[13 | 13.76] loss=3.95 avg=3.87
[14 | 14.37] loss=3.42 avg=3.84
[15 | 14.99] loss=3.69 avg=3.83
[16 | 15.60] loss=3.33 avg=3.79
[17 | 16.21] loss=3.67 avg=3.79
[18 | 16.82] loss=3.26 avg=3.75
[19 | 17.44] loss=3.49 avg=3.74
[20 | 18.05] loss=3.36 avg=3.72
[21 | 18.66] loss=3.62 avg=3.71
[22 | 19.28] loss=3.61 avg=3.71
[23 | 19.89] loss=3.63 avg=3.70
[24 | 20.50] loss=3.45 avg=3.69
[25 | 21.11] loss=3.26 avg=3.67
[26 | 21.73] loss=3.46 avg=3.66
[27 | 22.34] loss=3.33 avg=3.65
[28 | 22.95] loss=3.27 avg=3.63
[29 | 23.56] loss=3.43 avg=3.63
[30 | 24.18] loss=3.49 avg=3.62
[31 | 24.79] loss=3.33 avg=3.61
[32 | 25.41] loss=3.32 avg=3.60
[33 | 26.02] loss=3.66 avg=3.60
[34 | 26.63] loss=3.22 avg=3.59
[35 | 27.25] loss=3.54 avg=3.59
[36 | 27.87] loss=3.25 avg=3.58
[37 | 28.48] loss=3.43 avg=3.57
[38 | 29.10] loss=3.33 avg=3.56
[39 | 29.71] loss=3.33 avg=3.56
[40 | 30.33] loss=3.29 avg=3.55
[41 | 30.94] loss=3.60 avg=3.55
[42 | 31.56] loss=3.35 avg=3.54
[43 | 32.17] loss=3.37 avg=3.54
[44 | 32.78] loss=3.34 avg=3.53
[45 | 33.40] loss=3.45 avg=3.53
[46 | 34.01] loss=3.08 avg=3.52
[47 | 34.63] loss=3.04 avg=3.51
[48 | 35.24] loss=3.44 avg=3.50
[49 | 35.86] loss=3.57 avg=3.51
[50 | 36.48] loss=3.18 avg=3.50
[51 | 37.09] loss=3.74 avg=3.50
[52 | 37.71] loss=3.05 avg=3.49
[53 | 38.32] loss=3.26 avg=3.49
[54 | 38.94] loss=3.25 avg=3.48
[55 | 39.56] loss=3.05 avg=3.47
[56 | 40.17] loss=3.26 avg=3.47
[57 | 40.79] loss=3.31 avg=3.46
[58 | 41.41] loss=3.10 avg=3.45
[59 | 42.02] loss=3.27 avg=3.45
[60 | 42.64] loss=3.05 avg=3.44
[61 | 43.26] loss=3.13 avg=3.43
[62 | 43.87] loss=3.22 avg=3.43
[63 | 44.49] loss=3.31 avg=3.43
[64 | 45.11] loss=2.97 avg=3.42
[65 | 45.72] loss=3.43 avg=3.42
[66 | 46.34] loss=2.80 avg=3.41
[67 | 46.96] loss=3.21 avg=3.40
[68 | 47.57] loss=3.03 avg=3.39
[69 | 48.19] loss=3.01 avg=3.39
[70 | 48.81] loss=3.12 avg=3.38
[71 | 49.43] loss=2.72 avg=3.37
[72 | 50.05] loss=3.10 avg=3.36
[73 | 50.66] loss=3.10 avg=3.36
[74 | 51.28] loss=2.89 avg=3.35
[75 | 51.90] loss=3.33 avg=3.35
[76 | 52.52] loss=3.40 avg=3.35
[77 | 53.13] loss=3.29 avg=3.35
[78 | 53.75] loss=3.01 avg=3.34
[79 | 54.37] loss=3.36 avg=3.34
[80 | 54.99] loss=3.24 avg=3.34
[81 | 55.60] loss=2.96 avg=3.33
[82 | 56.22] loss=3.29 avg=3.33
[83 | 56.84] loss=3.15 avg=3.33
[84 | 57.46] loss=2.81 avg=3.32
[85 | 58.08] loss=2.76 avg=3.31
[86 | 58.69] loss=3.27 avg=3.31
[87 | 59.31] loss=2.97 avg=3.30
[88 | 59.93] loss=3.08 avg=3.30
[89 | 60.55] loss=3.07 avg=3.30
[90 | 61.17] loss=2.79 avg=3.29
[91 | 61.79] loss=3.15 avg=3.29
[92 | 62.41] loss=2.98 avg=3.28
[93 | 63.02] loss=3.05 avg=3.28
[94 | 63.64] loss=2.84 avg=3.27
[95 | 64.26] loss=3.10 avg=3.27
[96 | 64.88] loss=3.05 avg=3.26
[97 | 65.50] loss=2.97 avg=3.26
[98 | 66.12] loss=3.07 avg=3.26
[99 | 66.74] loss=2.97 avg=3.25
[100 | 67.36] loss=2.92 avg=3.25
[101 | 67.98] loss=3.10 avg=3.24
[102 | 68.60] loss=3.05 avg=3.24
[103 | 69.22] loss=2.65 avg=3.23
[104 | 69.84] loss=2.87 avg=3.23
[105 | 70.46] loss=2.92 avg=3.22
[106 | 71.07] loss=3.19 avg=3.22
[107 | 71.70] loss=3.02 avg=3.22
[108 | 72.32] loss=3.00 avg=3.21
[109 | 72.94] loss=3.02 avg=3.21
[110 | 73.56] loss=2.86 avg=3.21
[111 | 74.18] loss=3.01 avg=3.20
[112 | 74.80] loss=2.87 avg=3.20
[113 | 75.42] loss=3.00 avg=3.20
[114 | 76.04] loss=2.83 avg=3.19
[115 | 76.66] loss=2.68 avg=3.18
[116 | 77.28] loss=2.95 avg=3.18
[117 | 77.90] loss=2.99 avg=3.18
[118 | 78.52] loss=3.29 avg=3.18
[119 | 79.14] loss=2.85 avg=3.17
[120 | 79.76] loss=3.40 avg=3.18
[121 | 80.38] loss=3.10 avg=3.18
[122 | 81.00] loss=2.78 avg=3.17
