name: GeForce RTX 2080 Ti major: 7 minor: 5 memoryClockRate(GHz): 1.545
pciBusID: 0000:01:00.0
totalMemory: 10.73GiB freeMemory: 10.57GiB
Loading dataset...
100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1/1 [00:01<00:00,  1.55s/it]
dataset has 76768927 tokens
Training...
[1 | 5.96] loss=4.18 avg=4.18
[2 | 6.58] loss=4.74 avg=4.46
[3 | 7.19] loss=4.43 avg=4.45
[4 | 7.81] loss=4.46 avg=4.45
[5 | 8.42] loss=0.81 avg=3.71
[6 | 9.04] loss=4.23 avg=3.80
[7 | 9.66] loss=4.35 avg=3.88
[8 | 10.28] loss=3.92 avg=3.89
[9 | 10.89] loss=4.13 avg=3.91
[10 | 11.51] loss=4.07 avg=3.93
[11 | 12.13] loss=4.14 avg=3.95
[12 | 12.74] loss=3.96 avg=3.95
[13 | 13.36] loss=4.03 avg=3.96
[14 | 13.98] loss=3.88 avg=3.95
[15 | 14.60] loss=3.74 avg=3.94
[16 | 15.22] loss=3.77 avg=3.92
[17 | 15.84] loss=3.80 avg=3.92
[18 | 16.46] loss=4.10 avg=3.93
[19 | 17.08] loss=3.36 avg=3.90
[20 | 17.70] loss=3.41 avg=3.87
[21 | 18.31] loss=3.89 avg=3.87
[22 | 18.93] loss=3.81 avg=3.87
[23 | 19.55] loss=4.31 avg=3.89
[24 | 20.17] loss=2.83 avg=3.84
[25 | 20.79] loss=3.88 avg=3.84
[26 | 21.41] loss=3.65 avg=3.83
[27 | 22.03] loss=3.75 avg=3.83
[28 | 22.65] loss=3.18 avg=3.80
[29 | 23.27] loss=4.39 avg=3.83
[30 | 23.89] loss=3.92 avg=3.83
[31 | 24.51] loss=3.82 avg=3.83
[32 | 25.13] loss=3.80 avg=3.83
[33 | 25.75] loss=3.60 avg=3.82
[34 | 26.37] loss=3.79 avg=3.82
[35 | 26.99] loss=3.45 avg=3.81
[36 | 27.61] loss=3.59 avg=3.80
[37 | 28.23] loss=3.98 avg=3.80
[38 | 28.86] loss=3.86 avg=3.81
[39 | 29.48] loss=3.65 avg=3.80
[40 | 30.10] loss=3.99 avg=3.81
[41 | 30.72] loss=3.27 avg=3.79
[42 | 31.34] loss=3.62 avg=3.79
[43 | 31.96] loss=3.74 avg=3.79
[44 | 32.58] loss=3.26 avg=3.77
[45 | 33.20] loss=3.82 avg=3.77
[46 | 33.82] loss=3.79 avg=3.77
[47 | 34.44] loss=3.97 avg=3.78
[48 | 35.07] loss=3.83 avg=3.78
[49 | 35.69] loss=3.73 avg=3.78
[50 | 36.31] loss=3.36 avg=3.77
[51 | 36.93] loss=3.68 avg=3.76
